Category,Part,Quantity,Price (GBP),Source
Airframe,LMI / FOX EPP Glider (120 cm),1,24.09,Amazon
Airframe,UHU POR Foam Glue (50ml),1,5.99,Amazon
Airframe,Gorilla Tape 9m,1,2.99,Amazon
Airframe,Bamboo Chopsticks (20cm),1 pack,1.99,Amazon
Radio,FlySky FS-i6 + FS-iA6 RX,1,55.12,Amazon
Motor,2204 1400KV Brushless Motor,1,14.99,Amazon
ESC,30A BLHeli-S ESC,1,10.19,Amazon
Prop,RC Spinner,1,4.19,Amazon
Prop,Master Airscrew 8x4 Propeller,1,6.19,Amazon
Battery,3S 3300mAh LiPo,1,23.79,Amazon
Charger,ISDT Mini LiPo Charger,1,12.99,Amazon
Connectors,XT30 Connector Pairs,2,6.43,Amazon
Insulation,Battery Insulation Material,1,2.11,Amazon
Flight Controller,F4 V3 INAV Flight Controller,1,14.88,Amazon
GPS,Beitian BE220 M8N,1,28.84,Amazon
FPV,AIO FPV Camera 800TVL,1,32.84,Amazon
FPV,5.8GHz FPV Receiver,1,17.15,Amazon
Servos,12g Metal Gear Servos,2,12.38,Amazon
Hardware,Control horns pushrods connectors set,1 set,0.76,Amazon
Total,, ,282.15,
